Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
19479,8,471,7204011404,"Παπαδιόκαμπος,ο"
19480,8,471,7204011405,"Σαραντάπηχος,ο"
19481,7,471,72040115,Τοπική Κοινότητα Σταυρωμένου
19482,8,471,7204011501,"Σταυρωμένος,ο"
19483,8,471,7204011502,"Αρνικόν,το"
19484,8,471,7204011503,"Ζου,η"
19485,8,471,7204011504,"Κάτω Δρυς,ο"
19486,7,471,72040116,Τοπική Κοινότητα Σφάκας
19487,8,471,7204011601,"Σφάκα,η"
19488,8,471,7204011602,"Άγιος Ανδρέας,ο"
19489,7,471,72040117,Τοπική Κοινότητα Τουρλωτής
19490,8,471,7204011701,"Τουρλωτή,η"
19491,8,471,7204011702,"Μόχλος,ο"
19492,7,471,72040118,Τοπική Κοινότητα Χαμεζίου
19493,8,471,7204011801,"Χαμέζιον,το"
19494,6,471,720402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΤΑΝΟΥ
19495,7,471,72040201,Τοπική Κοινότητα Παλαικάστρου
19496,8,471,7204020101,"Παλαίκαστρον,το"
19497,8,471,7204020102,"Αγκάθια,τα"
19498,8,471,7204020103,"Βίγλα,η"
19499,8,471,7204020104,"Κουρεμένος,ο"
19500,8,471,7204020105,"Κυριαμάδι,το"
19501,8,471,7204020106,"Λύδια,η"
19502,8,471,7204020107,"Μερτύδια,τα"
19503,8,471,7204020108,"Τοπλού,το"
19504,8,471,7204020109,"Χιώνα,η"
19505,8,471,7204020110,"Χοχλακιαί,αι"
19506,7,471,72040202,Τοπική Κοινότητα Ζάκρου
19507,8,471,7204020201,"Ζάκρος,η"
19508,8,471,7204020202,"Άγιος Γεώργιος,ο"
19509,8,471,7204020203,"Αδραβάστοι,οι"
19510,8,471,7204020204,"Αζοκέραμος,ο"
19511,8,471,7204020205,"Κάτω Ζάκρος,ο"
19512,8,471,7204020206,"Κελλάρια,τα"
19513,8,471,7204020207,"Κλησίδιον,το"
19514,8,471,7204020208,"Ξεροκαμπιάς,ο"
19515,8,471,7204020209,"Σφάκα,η"
19516,7,471,72040203,Τοπική Κοινότητα Καρυδίου (Σητείας)
19517,8,471,7204020301,"Καρύδιον,το"
19518,8,471,7204020302,"Καμάρα,η"
19519,8,471,7204020303,"Λαγκάδα,η"
19520,7,471,72040204,Τοπική Κοινότητα Μητάτου
19521,8,471,7204020401,"Μητάτον,το"
19522,8,471,7204020402,"Άγιος Νικόλαος,ο"
19523,8,471,7204020403,"Βρυσίδιον,το"
19524,8,471,7204020404,"Κρυονέριον,το"
19525,8,471,7204020405,"Ξηρολίμνη,η"
19526,8,471,7204020406,"Χώνος,ο"
19527,6,471,720403,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΕΥΚΗΣ
19528,7,471,72040301,Τοπική Κοινότητα Ζίρου
19529,8,471,7204030101,"Ζίρος,η"
19530,8,471,7204030102,"Αγία Ειρήνη,η"
19531,8,471,7204030103,"Αγριλιά,η"
19532,8,471,7204030104,"Καλόν Χωρίον,το"
19533,8,471,7204030105,"Λαμνώνιον,το"
19534,8,471,7204030106,"Ξερόκαμπος,ο"
19535,8,471,7204030107,"Χαμαίτουλον,το"
19536,7,471,72040302,Τοπική Κοινότητα Αγίας Τριάδος
19537,8,471,7204030201,"Αγία Τριάς,η"
19538,8,471,7204030202,"Κουφονήσιον,το (νησίς)"
19539,7,471,72040303,Τοπική Κοινότητα Απιδίων (Μέσα Απιδίου)
19540,8,471,7204030301,"Γούδουρας,ο"
19541,8,471,7204030302,"Έξω Απίδιον,το"
19542,8,471,7204030303,"Καλός Λάκκος,ο"
19543,8,471,7204030304,"Μέσα Απίδιον,το"
19544,7,471,72040304,Τοπική Κοινότητα Αρμένων
19545,8,471,7204030401,"Αρμένοι,οι"
19546,8,471,7204030402,"Ασπρόλιθος,ο"
19547,8,471,7204030403,"Ετιά,η"
19548,7,471,72040305,Τοπική Κοινότητα Παππαγιαννάδων
19549,8,471,7204030501,"Παππαγιαννάδες,οι"
19550,8,471,7204030502,"Βορίον,το"
19551,8,471,7204030503,"Σκλάβοι,οι"
19552,8,471,7204030504,"Συκέα,η"
19553,7,471,72040306,Τοπική Κοινότητα Χανδρά
19554,8,471,7204030601,"Χανδράς,ο"
19555,8,471,7204030602,"Άγιος Παντελεήμων,ο"
19556,8,471,7204030603,"Κατελιώνας,ο"
19557,4,471,73,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΕΘΥΜΝΟΥ
19558,5,471,7301,ΔΗΜΟΣ ΡΕΘΥΜΝΗΣ
19559,6,471,730101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΡΕΘΥΜΝΗΣ
19560,7,471,73010101,Δημοτική Κοινότητα Ρεθύμνης
19561,8,471,7301010101,"Ρέθυμνον,το"
19562,8,471,7301010102,"Αγία Ειρήνη,η"
19563,8,471,7301010103,"Ανώγεια,τα"
19564,8,471,7301010104,"Γάλλος,ο"
19565,8,471,7301010105,"Γιαννούδιον,το"
19566,8,471,7301010106,"Μεγάλο Μετόχι,το"
19567,8,471,7301010107,"Μικρό Μετόχι,το"
19568,8,471,7301010108,"Ξηρόν Χωρίον,το"
19569,8,471,7301010109,"Τρία Μοναστήρια,τα"
19570,7,471,73010102,Τοπική Κοινότητα Αρμένων
19571,8,471,7301010201,"Αρμένοι,οι"
19572,8,471,7301010202,"Άγιος Γεώργιος,ο"
19573,8,471,7301010203,"Σωματάς,ο"
19574,8,471,7301010204,"Φωτεινός,ο"
19575,7,471,73010103,Τοπική Κοινότητα Γουλεδιανών
19576,8,471,7301010301,"Γουλεδιανά,τα"
19577,8,471,7301010302,"Γενή,η"
19578,7,471,73010104,Τοπική Κοινότητα Καρές
19579,8,471,7301010401,"Καρέ,η"
19580,8,471,7301010402,"Αμπελάκιον,το"
19581,7,471,73010105,Τοπική Κοινότητα Καστέλλου
19582,8,471,7301010501,"Κάστελλος,ο"
19583,7,471,73010106,Τοπική Κοινότητα Κούμων
19584,8,471,7301010601,"Κούμοι,οι"
19585,7,471,73010107,Τοπική Κοινότητα Μαρουλά
19586,8,471,7301010701,"Μαρουλάς,ο"
19587,8,471,7301010702,"Δίλοφο, το"
19588,7,471,73010108,Τοπική Κοινότητα Όρους
19589,8,471,7301010801,"Όρος,το"
19590,7,471,73010109,Τοπική Κοινότητα Πρασιών
19591,8,471,7301010901,"Πρασιαί,αι"
19592,7,471,73010110,Τοπική Κοινότητα Ρουσσοσπιτίου
19593,8,471,7301011001,"Ρουσσοσπίτιον,το"
19594,7,471,73010111,Τοπική Κοινότητα Σελλίου
19595,8,471,7301011101,"Σελλίον,το"
19596,8,471,7301011102,"Μύρθιος,η"
19597,7,471,73010112,Τοπική Κοινότητα Χρομοναστηρίου
19598,8,471,7301011201,"Χρομοναστήριον,το"
19599,8,471,7301011202,"Καπεδιανά,τα"
19600,8,471,7301011203,"Μύλοι,οι"
19601,8,471,7301011204,"Πρινέδες,οι"
19602,6,471,730102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΡΚΑΔΙΟΥ
19603,7,471,73010201,Τοπική Κοινότητα Άδελε
19604,8,471,7301020101,"Άδελε,το"
19605,8,471,7301020102,"Αγία Παρασκευή,η"
19606,8,471,7301020103,"Αδελιανός Κάμπος,ο"
19607,7,471,73010202,Τοπική Κοινότητα Αμνάτου
19608,8,471,7301020201,"Αμνάτος,η"
19609,8,471,7301020202,"Καψαλιανά,τα"
19610,8,471,7301020203,"Μονή Αρκαδίου,η"
19611,8,471,7301020204,"Πίκρης,ο"
19612,7,471,73010203,Τοπική Κοινότητα Αρχαίας Ελεύθερνας (Πρινέ)
19613,8,471,7301020301,"Αρχαία Ελεύθερνα,η (τ.Πρινές,ο)"
19614,7,471,73010204,Τοπική Κοινότητα Ελευθέρνης
19615,8,471,7301020401,"Ελεύθερνα,η"
19616,7,471,73010205,Τοπική Κοινότητα Έρφων
19617,8,471,7301020501,"Έρφοι,οι"
19618,8,471,7301020502,"Άγιος Νικόλαος,ο"
19619,8,471,7301020503,"Άνω Βιρανεπισκοπή,η"
19620,8,471,7301020504,"Βιρανεπισκοπή,η"
19621,8,471,7301020505,"Μαγνησία,η"
19622,7,471,73010206,Τοπική Κοινότητα Κυριάννας
19623,8,471,7301020601,"Κυριάννα,η"
19624,7,471,73010207,Τοπική Κοινότητα Μέσης
19625,8,471,7301020701,"Μέση,η"
19626,8,471,7301020702,"Αγία Τριάς,η"
19627,8,471,7301020703,"Λούτρα,η"
19628,7,471,73010208,Τοπική Κοινότητα Παγκαλοχωρίου
19629,8,471,7301020801,"Παγκαλοχώριον,το"
19630,8,471,7301020802,"Σφακάκι,το"
19631,7,471,73010209,Τοπική Κοινότητα Πηγής
19632,8,471,7301020901,"Πηγή,η"
19633,8,471,7301020902,"Άγιος Δημήτριος,ο"
19634,8,471,7301020903,"Πηγιανός Κάμπος,ο"
19635,7,471,73010210,Τοπική Κοινότητα Πρίνου
19636,8,471,7301021001,"Πρίνος,ο"
19637,8,471,7301021002,"Σκαλέτα,η"
19638,7,471,73010211,Τοπική Κοινότητα Σκουλουφίων
19639,8,471,7301021101,"Σκουλούφια,τα"
19640,8,471,7301021102,"Ρούπαι,αι"
19641,7,471,73010212,Τοπική Κοινότητα Χαμαλευρίου
19642,8,471,7301021201,"Χαμαλεύριον,το"
19643,8,471,7301021202,"Αστέριον,το"
19644,8,471,7301021203,"Σταυρωμένος,ο"
19645,7,471,73010213,Τοπική Κοινότητα Χαρκίων
19646,8,471,7301021301,"Χάρκια,τα"
19647,8,471,7301021302,"Καβούσιον,το"
19648,6,471,730103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΠΠΑΙΩΝ
19649,7,471,73010301,Τοπική Κοινότητα Επισκοπής
19650,8,471,7301030101,"Επισκοπή,η"
19651,8,471,7301030102,"Πύργος,ο"
19652,7,471,73010302,Τοπική Κοινότητα Αργυρουπόλεως
19653,8,471,7301030201,"Αργυρούπολις,η"
19654,7,471,73010303,Τοπική Κοινότητα Αρχοντικής
19655,8,471,7301030301,"Αρχοντική,η"
19656,7,471,73010304,Τοπική Κοινότητα Βιλανδρέδου
19657,8,471,7301030401,"Βιλανδρέδον,το"
19658,8,471,7301030402,"Αλώναι,αι"
19659,8,471,7301030403,"Αρολίθιον,το"
19660,8,471,7301030404,"Ρουμπάδον,το"
19661,7,471,73010305,Τοπική Κοινότητα Καρωτής
19662,8,471,7301030501,"Καρωτή,η"
19663,7,471,73010306,Τοπική Κοινότητα Κάτω Πόρου
19664,8,471,7301030601,"Κάτω Πόρος,ο"
19665,7,471,73010307,Τοπική Κοινότητα Κούφης
19666,8,471,7301030701,"Κούφη,η"
19667,7,471,73010308,Τοπική Κοινότητα Μυριοκεφάλων
19668,8,471,7301030801,"Μυριοκέφαλα,τα"
19669,8,471,7301030802,"Μαρουλού,η"
19670,6,471,730104,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΙΚΗΦΟΡΟΥ ΦΩΚΑ
19671,7,471,73010401,Τοπική Κοινότητα Γωνιάς
19672,8,471,7301040101,"Γωνιά,η"
19673,8,471,7301040102,"Άγιος Ανδρέας,ο"
19674,7,471,73010402,Τοπική Κοινότητα Αγίου Κωνσταντίνου
19675,8,471,7301040201,"Άγιος Κωνσταντίνος,ο"
19676,8,471,7301040202,"Άγιος Γεώργιος,ο"
19677,7,471,73010403,Τοπική Κοινότητα Άνω Βαλσαμονέρου
19678,8,471,7301040301,"Άνω Βαλσαμόνερον,το"
19679,8,471,7301040302,"Μονοπάριον,το"
19680,7,471,73010404,Δημοτική Κοινότητα Ατσιποπούλου
19681,8,471,7301040401,"Ατσιπόπουλον,το"
19682,8,471,7301040402,"Αγνά,τα"
19683,8,471,7301040403,"Βιολί Χαράκι,το"
19684,8,471,7301040404,"Πανόραμα,το"
19685,7,471,73010405,Τοπική Κοινότητα Γερανίου
19686,8,471,7301040501,"Γεράνιον,το"
19687,8,471,7301040502,"Πετρές,ο"
19688,7,471,73010406,Τοπική Κοινότητα Ζουριδίου
19689,8,471,7301040601,"Ζουρίδιον,το"
19690,7,471,73010407,Τοπική Κοινότητα Καλονύκτου
19691,8,471,7301040701,"Καλονύκτης,ο"
19692,7,471,73010408,Τοπική Κοινότητα Κάτω Βαλσαμονέρου
19693,8,471,7301040801,"Κάτω Βαλσαμόνερον,το"
19694,7,471,73010409,Τοπική Κοινότητα Μαλακίων
19695,8,471,7301040901,"Άνω Μαλάκιον,το"
19696,8,471,7301040902,"Κάτω Μαλάκιον,το"
19697,7,471,73010410,Τοπική Κοινότητα Μούντρου
19698,8,471,7301041001,"Μούντρος,ο"
19699,8,471,7301041002,"Βελονάδον,το"
19700,7,471,73010411,Τοπική Κοινότητα Πρινέ
19701,8,471,7301041101,"Πρινές,ο"
19702,8,471,7301041102,"Βεδέροι,οι"
19703,7,471,73010412,Τοπική Κοινότητα Ρουστίκων
19704,8,471,7301041201,"Ρούστικα,τα"
19705,8,471,7301041202,"Παλαίλιμνος,ο"
19706,7,471,73010413,Τοπική Κοινότητα Σαϊτουρών
19707,8,471,7301041301,"Σαϊτούραι,αι"
19708,7,471,73010414,Τοπική Κοινότητα Φραντζεσκιανών Μετοχίων
19709,8,471,7301041401,"Φραντζεσκιανά Μετόχια,τα"
19710,5,471,7302,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ
19711,6,471,730201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΜΠΗΣ
19712,7,471,73020101,Τοπική Κοινότητα Σπηλίου
19713,8,471,7302010101,"Σπήλιον,το"
19714,8,471,7302010102,"Δαριβιανά,τα"
19715,8,471,7302010103,"Παξιμάδια δύο, τα (νησίς)"
19716,8,471,7302010104,"Παξιμάδια ένα, τα (νησίς)"
19717,7,471,73020102,Τοπική Κοινότητα Αγίας Γαλήνης
19718,8,471,7302010201,"Αγία Γαλήνη,η"
19719,8,471,7302010202,"Ξηρόκαμπος,ο"
19720,7,471,73020103,Τοπική Κοινότητα Ακουμίων
19721,8,471,7302010301,"Ακούμια,τα"
19722,8,471,7302010302,"Βρύσαι,αι"
19723,8,471,7302010303,"Τριόπετρα,η"
19724,7,471,73020104,Τοπική Κοινότητα Αρδάκτου
19725,8,471,7302010401,"Άρδακτος,ο"
19726,8,471,7302010402,"Αγία Παρασκευή,η"
19727,8,471,7302010403,"Ακτούντα,τα"
19728,8,471,7302010404,"Βάτος,ο"
19729,7,471,73020105,Τοπική Κοινότητα Δριμίσκου
19730,8,471,7302010501,"Δρίμισκος,η"
19731,7,471,73020106,Τοπική Κοινότητα Καρινών
19732,8,471,7302010601,"Καρίναι,αι"
19733,7,471,73020107,Τοπική Κοινότητα Κεντροχωρίου
19734,8,471,7302010701,"Κεντροχώριον,το"
19735,8,471,7302010702,"Πλατανές,ο"
19736,7,471,73020108,Τοπική Κοινότητα Κεραμέ
19737,8,471,7302010801,"Κεραμές,ο"
19738,8,471,7302010802,"Αγαλιανός,ο"
19739,8,471,7302010803,"Αγία Φωτεινή,η"
19740,7,471,73020109,Τοπική Κοινότητα Κισσού
19741,8,471,7302010901,"Κισσός,ο"
19742,8,471,7302010902,"Κισσού Κάμπος,ο"
19743,7,471,73020110,Τοπική Κοινότητα Κρύας Βρύσης
19744,8,471,7302011001,"Κρύα Βρύση,η"
19745,8,471,7302011002,"Νέα Κρύα Βρύση,η"
19746,7,471,73020111,Τοπική Κοινότητα Λαμπινής
19747,8,471,7302011101,"Λαμπινή,η"
19748,7,471,73020112,Τοπική Κοινότητα Μελάμπων
19749,8,471,7302011201,"Μέλαμπες,αι"
19750,8,471,7302011202,"Άγιος Γεώργιος,ο"
19751,7,471,73020113,Τοπική Κοινότητα Μουρνές
19752,8,471,7302011301,"Μουρνέ,η"
19753,7,471,73020114,Τοπική Κοινότητα Μυξόρρουμα
19754,8,471,7302011401,"Μυξόρρουμα,το"
19755,8,471,7302011402,"Αγία Πελαγία,η"
19756,8,471,7302011403,"Άνω Μυξόρρουμα,το"
19757,8,471,7302011404,"Φρατίον,το"
19758,7,471,73020115,Τοπική Κοινότητα Ορνές
19759,8,471,7302011501,"Ορνέ,η"
19760,7,471,73020116,Τοπική Κοινότητα Σακτουρίων
19761,8,471,7302011601,"Σακτούρια,τα"
19762,8,471,7302011602,"Άγιος Παύλος,ο"
19763,8,471,7302011603,"Κάτω Σακτούρια,τα"
19764,6,471,730202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΟΙΝΙΚΑ
19765,7,471,73020201,Τοπική Κοινότητα Σελλίων
19766,8,471,7302020101,"Πλακιάς,ο"
19767,8,471,7302020102,"Σελλία,τα"
19768,8,471,7302020103,"Σούδα,η"
19769,7,471,73020202,Τοπική Κοινότητα Αγίου Βασιλείου
19770,8,471,7302020201,"Άγιος Βασίλειος,ο"
19771,7,471,73020203,Τοπική Κοινότητα Αγίου Ιωάννου Αγίου Βασιλείου
19772,8,471,7302020301,"Άγιος Ιωάννης,ο"
19773,8,471,7302020302,"Καλή Συκέα,η"
19774,8,471,7302020303,"Κάνεβος,η"
19775,7,471,73020204,Τοπική Κοινότητα Αγκουσελιανών
19776,8,471,7302020401,"Αγκουσελιανά,τα"
19777,8,471,7302020402,"Παλαιόλουτρα,τα"
19778,7,471,73020205,Τοπική Κοινότητα Ασωμάτου
19779,8,471,7302020501,"Ασώματος,ο"
19780,8,471,7302020502,"Κάτω Μονή Πρέβελη,η"
19781,8,471,7302020503,"Πίσω Μονή Πρέβελη,η"
19782,7,471,73020206,Τοπική Κοινότητα Κοξαρές
19783,8,471,7302020601,"Κοξαρέ,η"
19784,8,471,7302020602,"Ατσιπάδες,αι"
19785,8,471,7302020603,"Κατσογρίδα,η"
19786,8,471,7302020604,"Παλέ,η"
19787,7,471,73020207,Τοπική Κοινότητα Λευκογείων
19788,8,471,7302020701,"Λευκόγεια,τα"
19789,8,471,7302020702,"Αμμούδι,το"
19790,8,471,7302020703,"Γιαννιού,το"
19791,8,471,7302020704,"Δαμνόνι,το"
19792,8,471,7302020705,"Σχοινάρια,τα"
19793,7,471,73020208,Τοπική Κοινότητα Μαριού
19794,8,471,7302020801,"Μαριού,το"
19795,8,471,7302020802,"Παλαιά Ταβέρνα,η"
19796,7,471,73020209,Τοπική Κοινότητα Μύρθιου
19797,8,471,7302020901,"Μύρθιος,η"
19798,8,471,7302020902,"Καλυψώ,η"
19799,8,471,7302020903,"Κάμπος,ο"
19800,8,471,7302020904,"Κόκκινα Χωράφια,τα"
19801,8,471,7302020905,"Μυρθιανός Πλακιάς,ο"
19802,8,471,7302020906,"Φοίνιξ,ο"
19803,7,471,73020210,Τοπική Κοινότητα Ροδακίνου
19804,8,471,7302021001,"Άνω Ροδάκινον,το"
19805,8,471,7302021002,"Κάτω Ροδάκινον,το"
19806,8,471,7302021003,"Κόρακας,ο"
19807,8,471,7302021004,"Πολύριζος,η"
19808,5,471,7303,ΔΗΜΟΣ ΑΜΑΡΙΟΥ
19809,6,471,730301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΙΒΡΙΤΟΥ
19810,7,471,73030101,Τοπική Κοινότητα Αποστόλων
19811,8,471,7303010101,"Αγία Φωτεινή,η"
19812,8,471,7303010102,"Απόστολοι,οι"
19813,8,471,7303010103,"Γέννα,η"
19814,7,471,73030102,Τοπική Κοινότητα Αμαρίου
19815,8,471,7303010201,"Αμάριον,το"
19816,8,471,7303010202,"Οψιγιάς,ο"
19817,7,471,73030103,Τοπική Κοινότητα Άνω Μέρους
19818,8,471,7303010301,"Άνω Μέρος,το"
19819,8,471,7303010302,"Δρυγιαί,αι"
19820,8,471,7303010303,"Χωρδάκιον,το"
19821,7,471,73030104,Τοπική Κοινότητα Βισταγής
19822,8,471,7303010401,"Βισταγή,η"
19823,8,471,7303010402,"Μονή Ασωμάτων,η"
19824,7,471,73030105,Τοπική Κοινότητα Βρυσών
19825,8,471,7303010501,"Βρύσαι,αι"
19826,8,471,7303010502,"Καρδάκιον,το"
19827,7,471,73030106,Τοπική Κοινότητα Βωλεώνων
19828,8,471,7303010601,"Βωλεώνες,οι"
19829,7,471,73030107,Τοπική Κοινότητα Γερακαρίου
19830,8,471,7303010701,"Γερακάριον,το"
19831,7,471,73030108,Τοπική Κοινότητα Ελενών
19832,8,471,7303010801,"Ελέναι,αι"
19833,8,471,7303010802,"Μεσονήσια,τα"
19834,7,471,73030109,Τοπική Κοινότητα Θρόνου
19835,8,471,7303010901,"Θρόνος,ο"
19836,8,471,7303010902,"Κλησίδιον,το"
19837,7,471,73030110,Τοπική Κοινότητα Καλογέρου
19838,8,471,7303011001,"Καλόγερος,ο"
19839,7,471,73030111,Τοπική Κοινότητα Μέρωνα
19840,8,471,7303011101,"Μέρωνας,ο"
19841,7,471,73030112,Τοπική Κοινότητα Μοναστηρακίου
19842,8,471,7303011201,"Μοναστηράκιον,το"
19843,7,471,73030113,Τοπική Κοινότητα Παντανάσσης
19844,8,471,7303011301,"Παντάνασσα,η"
19845,7,471,73030114,Τοπική Κοινότητα Πατσού
19846,8,471,7303011401,"Πατσός,ο"
19847,6,471,730302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΥΡΗΤΩΝ
19848,7,471,73030201,Τοπική Κοινότητα Φουρφουρά
19849,8,471,7303020101,"Φουρφουράς,ο"
19850,7,471,73030202,Τοπική Κοινότητα Αγίας Παρασκευής
19851,8,471,7303020201,"Αγία Παρασκευή,η"
19852,7,471,73030203,Τοπική Κοινότητα Αγίου Ιωάννου Αμαρίου
19853,8,471,7303020301,"Άγιος Ιωάννης,ο"
19854,7,471,73030204,Τοπική Κοινότητα Αποδούλου
19855,8,471,7303020401,"Αποδούλου,το"
19856,8,471,7303020402,"Μάνδρες,οι"
19857,8,471,7303020403,"Ρίζικας,ο"
19858,8,471,7303020404,"Σάτα,η"
19859,7,471,73030205,Τοπική Κοινότητα Βιζαρίου
19860,8,471,7303020501,"Βιζάριον,το"
19861,7,471,73030206,Τοπική Κοινότητα Κουρουτών
19862,8,471,7303020601,"Κουρούται,αι"
19863,7,471,73030207,Τοπική Κοινότητα Λαμπιωτών
19864,8,471,7303020701,"Λαμπιώται,οι"
19865,7,471,73030208,Τοπική Κοινότητα Λοχριάς
19866,8,471,7303020801,"Λοχριά,η"
19867,8,471,7303020802,"Άρδακτος,ο"
19868,7,471,73030209,Τοπική Κοινότητα Νιθαύρεως
19869,8,471,7303020901,"Νίθαυρις,η"
19870,8,471,7303020902,"Βαθιακόν,το"
19871,7,471,73030210,Τοπική Κοινότητα Πετροχωρίου
19872,8,471,7303021001,"Πετροχώριον,το"
19873,7,471,73030211,Τοπική Κοινότητα Πλατανίων
19874,8,471,7303021101,"Πλατάνια,τα"
19875,7,471,73030212,Τοπική Κοινότητα Πλατάνου
19876,8,471,7303021201,"Πλάτανος,ο"
19877,5,471,7304,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ
19878,8,471,7304000001,"Ανώγεια,τα"
19879,8,471,7304000002,"Σίσαρχα,τα"
19880,5,471,7305,ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ
19881,6,471,730501,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΕΡΟΠΟΤΑΜΟΥ
19882,7,471,73050101,Τοπική Κοινότητα Περάματος
19883,8,471,7305010101,"Πέραμα,το"
19884,8,471,7305010102,"Δάφνη,η"
19885,7,471,73050102,Τοπική Κοινότητα Αγγελιανών
19886,8,471,7305010201,"Αγγελιανά,τα"
19887,8,471,7305010202,"Χάνιον Αλεξάνδρου,το"
19888,8,471,7305010203,"Χανοθιανά,τα"
19889,7,471,73050103,Τοπική Κοινότητα Αγίου Μάμαντος
19890,8,471,7305010301,"Άγιος Μάμας,ο"
19891,8,471,7305010302,"Αβδελλάς,ο"
19892,8,471,7305010303,"Αργουλιόν,το"
19893,8,471,7305010304,"Καστρίον,το"
19894,7,471,73050104,Τοπική Κοινότητα Αλφάς
19895,8,471,7305010401,"Αλφά,η"
19896,8,471,7305010402,"Καλλέργος,ο"
19897,8,471,7305010403,"Σκορδίλον,το"
19898,7,471,73050105,Τοπική Κοινότητα Αχλαδέ
19899,8,471,7305010501,"Αχλαδές,ο"
19900,8,471,7305010502,"Σιριπιδιανά,τα"
19901,8,471,7305010503,"Σολοχιανά,τα"
19902,7,471,73050106,Τοπική Κοινότητα Καλανδαρές
19903,8,471,7305010601,"Καλανδαρέ,η"
19904,8,471,7305010602,"Καλαμάς,ο"
19905,7,471,73050107,Τοπική Κοινότητα Μαργαριτών
19906,8,471,7305010701,"Μαργαρίται,αι"
19907,8,471,7305010702,"Άνω Τριπόδον,το"
19908,8,471,7305010703,"Βεργιανά,τα"
19909,8,471,7305010704,"Κυνηγιανά,τα"
19910,8,471,7305010705,"Λαγκά,η"
19911,8,471,7305010706,"Πιγουνιανά,τα"
19912,8,471,7305010707,"Πλευριανά,τα"
19913,8,471,7305010708,"Σταυρωμένος,ο"
19914,8,471,7305010709,"Τζαννακιανά,τα"
19915,7,471,73050108,Τοπική Κοινότητα Μελιδονίου
19916,8,471,7305010801,"Μελιδόνιον,το"
19917,8,471,7305010802,"Βλυχάδα,η"
19918,8,471,7305010803,"Εξάντης,ο"
19919,8,471,7305010804,"Μπαλίον,το"
19920,7,471,73050109,Τοπική Κοινότητα Μελισσουργακίου
19921,8,471,7305010901,"Μελισσουργάκιον,το"
19922,7,471,73050110,Τοπική Κοινότητα Ορθέ
19923,8,471,7305011001,"Ορθές,ο"
19924,7,471,73050111,Τοπική Κοινότητα Πανόρμου
19925,8,471,7305011101,"Πάνορμος,ο"
19926,8,471,7305011102,"Λαύρις,η"
19927,7,471,73050112,Τοπική Κοινότητα Πασαλιτών
19928,8,471,7305011201,"Πασαλίται,αι"
19929,7,471,73050113,Τοπική Κοινότητα Ρουμελής
19930,8,471,7305011301,"Ρουμελή,η"
19931,7,471,73050114,Τοπική Κοινότητα Σισών
19932,8,471,7305011401,"Σίσαι,αι"
19933,8,471,7305011402,"Αλμυρίδα,η"
19934,7,471,73050115,Τοπική Κοινότητα Σκεπαστής
19935,8,471,7305011501,"Σκεπαστή,η"
19936,7,471,73050116,Τοπική Κοινότητα Χουμερίου
19937,8,471,7305011601,"Χουμέριον,το"
19938,8,471,7305011602,"Γαρίπας,ο"
19939,8,471,7305011603,"Κεραμωτά,τα"
19940,8,471,7305011604,"Κρασούνας,ο"
19941,6,471,730502,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΖΩΝΙΑΝΩΝ
19942,7,471,73050201,Τοπική Κοινότητα Ζωνιανών
19943,8,471,7305020101,"Ζωνιανά,τα"
19944,6,471,730503,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΥΛΟΥΚΩΝΑ
19945,7,471,73050301,Τοπική Κοινότητα Γαράζου
19946,8,471,7305030101,"Γαράζον,το"
19947,8,471,7305030102,"Μουρτζανά,τα"
