Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
265,8,111,0104020103,"Νέα Πέτρα,η"
266,7,111,01040202,Δημοτική Κοινότητα Αμαράντων
267,8,111,0104020201,"Αμάραντα,τα"
268,8,111,0104020202,"Βάκος,ο"
269,8,111,0104020203,"Ίσαλον,το"
270,8,111,0104020204,"Καλλιθέα,η"
271,8,111,0104020205,"Πάμφορον,το"
272,7,111,01040203,Τοπική Κοινότητα Ιμέρου
273,8,111,0104020301,"Ίμερος,ο"
274,8,111,0104020302,"Αμπελάκια,τα"
275,7,111,01040204,Τοπική Κοινότητα Μαρωνείας
276,8,111,0104020401,"Μαρώνεια,η"
277,8,111,0104020402,"Άγιος Χαράλαμπος,ο"
278,8,111,0104020403,"Άνω Ασκηταί,οι"
279,8,111,0104020404,"Ασκηταί,οι"
280,8,111,0104020405,"Πλατανίτης,ο"
281,7,111,01040205,Τοπική Κοινότητα Μιράνων
282,8,111,0104020501,"Μίρανα,τα"
283,8,111,0104020502,"Βέννα,η"
284,8,111,0104020503,"Σαλμώνη,η"
285,7,111,01040206,Τοπική Κοινότητα Πελαγίας
286,8,111,0104020601,"Πελαγία,η"
287,7,111,01040207,Τοπική Κοινότητα Προσκυνητών
288,8,111,0104020701,"Προσκυνηταί,οι"
289,8,111,0104020702,"Αλκυών,η"
290,8,111,0104020703,"Αλμυρός, ο (Παραθεριστικός Οικ. Συνετ/σμός Υπαλ. ΔΕΗ Κομοτηνής)"
291,8,111,0104020704,"Κρυονέρι,το"
292,8,111,0104020705,"Λεύκες,οι"
293,8,111,0104020706,"Προφήτης Ηλίας,ο"
294,4,111,02,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ
295,5,111,0201,ΔΗΜΟΣ ΔΡΑΜΑΣ
296,6,111,020101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ
297,7,111,02010101,Δημοτική Κοινότητα Δράμας
298,8,111,0201010101,"Δράμα,η"
299,8,111,0201010102,"Αμπελάκια,τα"
300,8,111,0201010103,"Νέα Σεβάστεια,η"
301,8,111,0201010104,"Ταξιάρχαι,οι"
302,7,111,02010102,Τοπική Κοινότητα Καλλιφύτου
303,8,111,0201010201,"Καλλίφυτος,η"
304,8,111,0201010202,"Πανόραμα,το"
305,7,111,02010103,Τοπική Κοινότητα Καλού Αγρού
306,8,111,0201010301,"Καλός Αγρός,ο"
307,7,111,02010104,Τοπική Κοινότητα Κουδουνίων
308,8,111,0201010401,"Κουδούνια,τα"
309,7,111,02010105,Τοπική Κοινότητα Λιβαδερού
310,8,111,0201010501,"Λιβαδερόν,το"
311,8,111,0201010502,"Δενδράκια,τα"
312,7,111,02010106,Τοπική Κοινότητα Μακρυπλαγίου
313,8,111,0201010601,"Μακρυπλάγιον,το"
314,8,111,0201010602,"Πολύκαρπος,ο"
315,7,111,02010107,Τοπική Κοινότητα Μαυροβάτου
316,8,111,0201010701,"Μαυρόβατος,ο"
317,7,111,02010108,Τοπική Κοινότητα Μικροχωρίου
318,8,111,0201010801,"Μικροχώριον,το"
319,7,111,02010109,Τοπική Κοινότητα Μοναστηρακίου
320,8,111,0201010901,"Μοναστηράκιον,το"
321,8,111,0201010902,"Βαθύλακκος,ο"
322,7,111,02010110,Τοπική Κοινότητα Μυλοποτάμου
323,8,111,0201011001,"Μυλοπόταμος,ο"
324,7,111,02010111,Τοπική Κοινότητα Νικοτσάρας
325,8,111,0201011101,"Νικοτσάρας,ο"
326,7,111,02010112,Δημοτική Κοινότητα Ξηροποτάμου
327,8,111,0201011201,"Ξηροπόταμος,ο"
328,8,111,0201011202,"Μεταμόρφωσις Σωτήρος,η"
329,7,111,02010113,Δημοτική Κοινότητα Χωριστής
330,8,111,0201011301,"Χωριστή,η"
331,6,111,020102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΙΔΗΡΟΝΕΡΟΥ
332,7,111,02010201,Τοπική Κοινότητα Σιδηρονέρου
333,8,111,0201020101,"Σιδηρόνερον,το"
334,8,111,0201020102,"Καλλίκαρπον,το"
335,8,111,0201020103,"Οροπέδιο,το"
336,8,111,0201020104,"Παππάδες,οι"
337,7,111,02010202,Τοπική Κοινότητα Σκαλωτής
338,8,111,0201020201,"Σκαλωτή,η"
339,5,111,0202,ΔΗΜΟΣ ΔΟΞΑΤΟΥ
340,6,111,020201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΜΠΑΚΙΟΥ
341,7,111,02020101,Δημοτική Κοινότητα Καλαμπακίου
342,8,111,0202010101,"Καλαμπάκιον,το"
343,7,111,02020102,Τοπική Κοινότητα Αγίας Παρασκευής
344,8,111,0202010201,"Αγία Παρασκευή,η"
345,7,111,02020103,Τοπική Κοινότητα Καλαμώνος
346,8,111,0202010301,"Καλαμών,ο"
347,7,111,02020104,Τοπική Κοινότητα Νεροφράκτου
348,8,111,0202010401,"Νεροφράκτης,ο"
349,7,111,02020105,Τοπική Κοινότητα Φτελιάς
350,8,111,0202010501,"Φτελιά,η"
351,6,111,020202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΟΞΑΤΟΥ
352,7,111,02020201,Δημοτική Κοινότητα Κυρίων
353,8,111,0202020101,"Βαθύσπηλον,το"
354,8,111,0202020102,"Βαθυχώριον,το"
355,8,111,0202020103,"Ευρύπεδον,το"
356,8,111,0202020104,"Κύρια,τα"
357,8,111,0202020105,"Υψηλόν,το"
358,7,111,02020202,Δημοτική Κοινότητα Αγίου Αθανασίου
359,8,111,0202020201,"Άγιος Αθανάσιος,ο"
360,7,111,02020203,Τοπική Κοινότητα Αγοράς
361,8,111,0202020301,"Αγορά,η"
362,7,111,02020204,Δημοτική Κοινότητα Δοξάτου
363,8,111,0202020401,"Δοξάτον,το"
364,7,111,02020205,Τοπική Κοινότητα Κεφαλαρίου
365,8,111,0202020501,"Άνω Κεφαλάριον,το"
366,8,111,0202020502,"Κάτω Κεφαλάριον,το"
367,7,111,02020206,Τοπική Κοινότητα Πηγαδίων
368,8,111,0202020601,"Πηγάδια,τα"
369,8,111,0202020602,"Αίγειρος,ο"
370,8,111,0202020603,"Περιστέρια,τα"
371,5,111,0203,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ
372,7,111,02030001,Δημοτική Κοινότητα Κάτω Νευροκοπίου
373,8,111,0203000101,"Κάτω Νευροκόπιον,το"
374,7,111,02030002,Τοπική Κοινότητα Αχλαδέας
375,8,111,0203000201,"Αχλαδέα,η"
376,7,111,02030003,Τοπική Κοινότητα Βαθυτόπου
377,8,111,0203000301,"Βαθύτοπος,ο"
378,7,111,02030004,Τοπική Κοινότητα Βώλακος
379,8,111,0203000401,"Βώλαξ,ο"
380,7,111,02030005,Τοπική Κοινότητα Γρανίτου
381,8,111,0203000501,"Γρανίτης,ο"
382,7,111,02030006,Τοπική Κοινότητα Δασωτού
383,8,111,0203000601,"Δασωτόν,το"
384,7,111,02030007,Τοπική Κοινότητα Εξοχής
385,8,111,0203000701,"Εξοχή,η"
386,7,111,02030008,Τοπική Κοινότητα Καταφύτου
387,8,111,0203000801,"Κατάφυτον,το"
388,7,111,02030009,Τοπική Κοινότητα Κάτω Βροντούς
389,8,111,0203000901,"Κάτω Βροντού,η"
390,7,111,02030010,Τοπική Κοινότητα Λευκογείων
391,8,111,0203001001,"Λευκόγεια,τα"
392,7,111,02030011,Τοπική Κοινότητα Μικροκλεισούρας
393,8,111,0203001101,"Μικροκλεισούρα,η"
394,8,111,0203001102,"Πέρασμα,το"
395,7,111,02030012,Τοπική Κοινότητα Μικρομηλέας
396,8,111,0203001201,"Μικρομηλέα,η"
397,7,111,02030013,Τοπική Κοινότητα Οχυρού
398,8,111,0203001301,"Οχυρόν,το"
399,7,111,02030014,Τοπική Κοινότητα Παγονερίου
400,8,111,0203001401,"Παγονέριον,το"
401,7,111,02030015,Τοπική Κοινότητα Περιθωρίου
402,8,111,0203001501,"Περιθώριον,το"
403,7,111,02030016,Τοπική Κοινότητα Ποταμών
404,8,111,0203001601,"Ποταμοί,οι"
405,7,111,02030017,Τοπική Κοινότητα Χρυσοκεφάλου
406,8,111,0203001701,"Χρυσοκέφαλος,ο"
407,5,111,0204,ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ
408,6,111,020401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΑΝΕΣΤΙΟΥ
409,7,111,02040101,Τοπική Κοινότητα Παρανεστίου
410,8,111,0204010101,"Παρανέστιον,το"
411,8,111,0204010102,"Αηδονόκαστρον,το"
412,8,111,0204010103,"Καπνόφυτον,το"
413,8,111,0204010104,"Καρποφόρον,το"
414,8,111,0204010105,"Μεσοχώριον,το"
415,8,111,0204010106,"Ξάγναντον,το"
416,8,111,0204010107,"Περίβλεπτον,το"
417,8,111,0204010108,"Πολυνέριον,το"
418,8,111,0204010109,"Πολύσυκο,το"
419,8,111,0204010110,"Τέμενος,το"
420,7,111,02040102,Τοπική Κοινότητα Θολού
421,8,111,0204010201,"Θόλος,ο"
422,8,111,0204010202,"Κάτω Θόλος,ο"
423,8,111,0204010203,"Κρήνη,η"
424,8,111,0204010204,"Στέρνα,η"
425,7,111,02040103,Τοπική Κοινότητα Σίλης
426,8,111,0204010301,"Πρασινάδα,η"
427,8,111,0204010302,"Διπόταμα,τα"
428,8,111,0204010303,"Σίλλη,η"
429,6,111,020402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΙΚΗΦΟΡΟΥ
430,7,111,02040201,Τοπική Κοινότητα Νικηφόρου
431,8,111,0204020101,"Νικηφόρος,ο"
